Dutch,English,German,Russian,Indonesian,French,Korean,Japanese,Spanish,Italian,Ambonese,IMG
Koe,Cow,Kuh,Корова,Lembu,Vache,암소,牛,Vaca,Mucca,Lembu,resources/packs/dieren/koe.png
Schaap,Sheep,Schaf,Овец,Domba,Mouton,양,羊,Oveja,Pecora,Domba,resources/packs/dieren/schaap.png
Kip,Chicken,Huhn,Курица,Ayam,Poulet,닭,鶏,Pollo,Pollo,Ayam,resources/packs/dieren/kip.png
Kat,Cat,Katze,Кошка,Kucing,Chat,고양이,ネコ,Gato,Gatto,Kucing,resources/packs/dieren/kat.png
Varken,Pig,Schwein,Свинья,Babi,Cochon,돼지,豚,Cerdo,Maiale,Babi,resources/packs/dieren/varken.png
Hond,Dog,Hund,Собака,Anjing,Chien,개,犬,Perro,Cane,Anjing,resources/packs/dieren/hond.png
Konijn,Rabbit,Kaninchen,Кролик,Kelinci,Lapin,토끼,うさぎ,Conejo,Coniglio,Kalenci,resources/packs/dieren/konijn.png
Eend,Duck,Anzeige,Конец,Bebek,Publicité,기원 후,アヒル,Pato,Anatra,Bebe,resources/packs/dieren/eend.png
Muis,Mouse,Maus,Мыши,Mouse,Souris,생쥐,ねずみ,Ratón,Topo,Tikus,resources/packs/dieren/muis.png
Paard,Horse,Pferd,Лошадь,Kuda,Cheval,말,馬,Caballo,Cavallo,Kuda,resources/packs/dieren/paard.png
Ezel,Donkey,Esel,Осел,Keledai,Âne,당나귀,ロバ,Burro,Asino,Kaladai,resources/packs/dieren/ezel.png
Zebra,Zebra,Zebra,Зебра,Zebra,Zèbre,얼룩말,シマウマ,Cebra,Zebra,Zebra,resources/packs/dieren/zebra.png
Leeuw,Lion,Löwe,Лев,Singa,Lion,사자,ライオン,León,Leone,Singa,resources/packs/dieren/leeuw.png
Tijger,Tiger,Tiger,Тигр,Harimau,Tigre,호랑이,虎,Tigre,Tigre,Harimau,resources/packs/dieren/tijger.png
Aap,Monkey,Affe,Обезьяна,Monyet,Singe,원숭이,猿,Mono,Scimmia,Mongki,resources/packs/dieren/aap.png
Hert,Deer,Reh,Олень,Rusa,Cerf,사슴,鹿,Ciervo,Cervo,Rusa,resources/packs/dieren/hert.png
Kaketoe,Cockatoo,Kakadu,Какаду,Kakatua,Cacatoès,소농,オウム,Cacatúa,Cacatua,Kakatua,resources/packs/dieren/kaketoe.png
Duif,Pigeon,Taube,Голубь,Merpati,Pigeon,비둘기,鳩,Paloma,Piccione,Pombo,resources/packs/dieren/duif.png
Slang,Snake,Schlange,Змея,Ular,Serpent,뱀,蛇,Serpiente,Serpente,Ular,resources/packs/dieren/slang.png
Krokodil,Crocodile,Krokodil,Крокодил,Buaya,Crocodile,악어,クロコダイル,Cocodrilo,Coccodrillo,Buaya,resources/packs/dieren/krokodil.png
Vis,Fish,Fische,Рыбы,Ikan,Poisson,생선,魚,Pez,Pesce,Ikang,resources/packs/dieren/vis.png
Haai,Shark,Hai,Акула,Hiu,Requin,상어,鮫,Tiburón,Squalo,Kaluyu,resources/packs/dieren/haai.png
Dolfijn,Dolphin,Delfin,Дельфин,Lumba-lumba,Dauphin,돌고래,イルカ,Delfín,Delfino,Ikang Babi,resources/packs/dieren/dolfijn.png
Walvis,Whale,Wal,Кит,Paus,Baleine,고래,鯨,Ballena,Balena,Lomba-lomba,resources/packs/dieren/walvis.png
Orka,Orca,Orca,Орка,Seguni,Orque,범고래,Orca,Orca,Orca,Seguni,resources/packs/dieren/orka.png
Giraffe,Giraffe,Giraffe,Жирафа,Jerapah,Girafe,기린,キリン,Jirafa,Giraffa,Jarapa,resources/packs/dieren/giraffe.png
Olifant,Elephant,Elefant,Слон,Gajah,Éléphant,코끼리,象,Elefante,Elefante,Gaja,resources/packs/dieren/olifant.png
Neushoorn,Rhino,Nashorn,Носорог,Badak,Rhinocéros,코뿔소,サイ,Rinoceronte,Rinoceronte,Bada,resources/packs/dieren/neushoorn.png
Wolf,Wolf,Wolf,Волк,Serigala,Loup,늑대,狼,Lobo,Lupo,Sarigala,resources/packs/dieren/wolf.png
Beer,Bear,Tragen,Медведь,Beruang,Ours,곰,クマ,Llevar,Orso,Baruang,resources/packs/dieren/beer.png
Vos,Fox,Fuchs,Лиса,Rubah,Renard,여우,狐,Zorro,Volpe,Ruba,resources/packs/dieren/vos.png
Vleerhond,Flying Fox,Fliegender Fuchs,Летающий лис,Codot,Roussette,과일박쥐류,オオコウモリ,Zorro Voladore,Volpe volante,Marsegu,resources/packs/dieren/vleerhond.png
Vleermuis,Bat,Fledermaus,Летучая мышь,Kelelawar,Chauve souris,박쥐,コウモリ,Murciélago,Pipistrello,Paniki,resources/packs/dieren/vleermuis.png
